StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
FOOD TO SAVE;Food and Beverage Waste Management;São Paulo Sao Paulo Brazil;Somos uma solução com propósito. Lutamos contra o desperdício de alimentos conectando estabelecimentos e usuários através da tecnologia.;2023-10-12;3100000;4;Seed;BR;Latin America;CapTable Spectra Investments HiPartners Capital&Work DSK Capital Paulo Silveira
Naya Homes;Hospitality Real Estate;Mexico City Distrito Federal Mexico;At Naya Homes we're redefining the short-term and vacation rental experience for homeowners in Latin America;2024-05-07;3100000;3;Seed;MX;Latin America;Primary Venture Partners Clocktower Technology Ventures Derive Ventures Carao Ventures Flybridge
Beyond Presence;Software Web Development;Bavaria Cundinamarca Colombia;Building foundational models for hyper-realistic real-time conversational digital humans.;2024-10-14;3100000;1;Pre-Seed;CO;Latin America;HV Capital 10x Founders Builders VC ALBA Management GmbH
YouthBuild Mexico;Communities Non Profit;Coyoacan Sonora Mexico;YouthBuild Mexico is a youth and community development program.;2022-05-24;3100000;1;Grant;MX;Latin America;Conrad N. Hilton Foundation
Data Rudder;Analytics Artificial Intelligence (AI) Machine Learning;Florianópolis Santa Catarina Brazil;Data Rudder provides algorithms ready-made solutions and more for business challenges.;2022-02-08;3100000;2;Corporate Round;BR;Latin America;Darwin Startups Sinqia
Moneypool;Information Technology Mobile Apps Payments;Nuevo León Coahuila de Zaragoza Mexico;Moneypool is a platform that allows users to pay/collect money from their friends;2021-10-14;3055381;4;Venture - Series Unknown;MX;Latin America;Goodwater Capital NXTP Ventures Bossanova Investimentos AngelHub VC The Ark Fund
Ease Labs International;Fitness Wellness;Bello Horizonte Minas Gerais Brazil;Ease Labs is a group focused in the development production and distribution of natural products.;2023-05-11;3041979;2;Debt Financing;BR;Latin America;Itaú BBA International plc Bruno Soares
Psyche Aerospace;Aerospace Agriculture Artificial Intelligence (AI) Drones Industrial Manufacturing;São José Dos Campos Sao Paulo Brazil;Psyche Aerospace is an innovative service that uses a fleet of autonomous drones to spray large crops quickly easily and accurately.;2024-02-05;3008726;3;Series A;BR;Latin America;Unknown Profile Eder Medeiros Nelson José Tanajura Leal
Flexio;Financial Services Information Technology;Mexico City Distrito Federal Mexico;The simplest most efficient and securest B2B collections platform for companies in Latin America.;2022-02-04;3001003;2;Seed;MX;Latin America;Soma Capital Latitud Village Capital Costanoa Ventures Diego Oppenheimer
Belo;Banking Cryptocurrency Finance Financial Services FinTech;Buenos Aires Distrito Federal Argentina;Personal finance for the future of work;2022-05-04;3000008;1;Seed;AR;Latin America;Latitud CRV Liquid 2 Ventures Fortified Ventures Magma Partners
trii;Financial Services FinTech;Bogotá Distrito Especial Colombia;One stop investment solution for retail investors in Latam;2022-10-31;3000000;6;Venture - Series Unknown;CO;Latin America;Y Combinator Soma Capital GRUPO BANCOLOMBIA Goodwater Capital Global Founders Capital
Workia;Human Resources SaaS;Buenos Aires Distrito Federal Argentina;Workia provides an all-in-one platform (HCWork) to help manage the human resources of any businesses;2021-10-01;3000000;2;Series A;AR;Latin America;
eatopia;Business Development Cloud Infrastructure Delivery Food and Beverage Food Delivery Restaurants;São Paulo Sao Paulo Brazil;Eatopia operates own and licensee super star restaurants brands focused on delivery;2022-01-08;3000000;1;Series A;BR;Latin America;CapSur Capital
Frizata;Fast-Moving Consumer Goods Food and Beverage Food Processing Snack Food;São Paulo Sao Paulo Brazil;Frizata is a D2C flexitarian frozen food-tech company.;2023-01-10;3000000;3;Series A;BR;Latin America;Norte Ventures Angel Ventures SP Ventures Marcos Galperin RG Nutri
Treinta;Finance Financial Services FinTech;Bogotá Distrito Especial Colombia;Treinta is a digital ledger app for Latin American microbusinesses.;2022-06-06;3000000;4;Series A;CO;Latin America;Y Combinator Soma Capital FJ Labs PayU GPO Goodwater Capital
Symplifica;Apps Employment Service Industry Software;Bogotá Distrito Especial Colombia;Symplifica is a software development company that designs applications for residential and corporate employee management.;2022-01-26;3000000;4;Series A;CO;Latin America;Impact Investment Group MassChallenge The Ark Fund InQlab Acumen LatAm Impact Ventures
Tomorrow Foods;E-Commerce Food and Beverage;Pergamino Buenos Aires Argentina;Tomorrow Foods develops plant-based ingredients and solutions for the foods that consumers want from start to finish.;2021-09-20;3000000;3;Seed;AR;Latin America;GridX GRID EXPONENTIAL Blue Horizon Corporation Grupo Insur
Cloudgaia;Cloud Computing CRM Information Technology;Beccar Buenos Aires Argentina;Cloudgaia cloud experts developers and product support specialists has extensive experience working with Salesforce cloud platforms.;2024-06-04;3000000;1;Seed;AR;Latin America;
Kitchenita;Food Delivery Software;Buenos Aires Distrito Federal Argentina;Data-Driven Virtual Restaurants;2022-02-01;3000000;2;Seed;AR;Latin America;FJ Labs Unpopular Ventures Newtopia VC Magna Capital Partners Xochi Ventures
Noh;Finance Payments Social;São Paulo Sao Paulo Brazil;Noh is Brazil's neobank for modern couples offering couples real time payments Pix Boletos and card in a multiplayer joint social wallet.;2021-10-01;3000000;1;Seed;BR;Latin America;Kindred Ventures The Twenty Minute VC Tom Blomfield Propel Future Positive
Cross Commerce Store;E-Commerce Marketplace Retail Software;São Paulo Sao Paulo Brazil;Ecommerce and Tech company from Brazil;2021-12-16;3000000;1;Seed;BR;Latin America;Canary ONEVC Global Founders Capital Norte Ventures MAYA Capital
Hubii;E-Commerce Information Technology Logistics Retail Technology;São Paulo Sao Paulo Brazil;"Hubii is the ""go-to platform"" for corporate brand supply-chain intelligence leading the way to LatAm New Retail";2023-10-01;3000000;2;Seed;BR;Latin America;Caravela Capital Darwin Startups Headline VERVE CAPITAL Prana Capital
Tipspace;Gaming Metaverse Web3;São Paulo Sao Paulo Brazil;Tipspace allows to any gamer monetize their matches and create new game modes on competitive games.;2022-10-05;3000000;1;Seed;BR;Latin America;Upload Ventures Rhombuz VC VERVE CAPITAL 4M Holding Lucas Lameiras
X Farmácia;Health Care Pharmaceutical;São Paulo Sao Paulo Brazil;Pharmacy e-commerce with speedy deliveries competitive prices vs. retail chains and a convenient user experience with free shipping.;2022-09-05;3000000;1;Seed;BR;Latin America;
tiffins;E-Commerce Information Technology Internet Marketplace Wholesale;Campina Sao Paulo Brazil;Marketplace B2B Mobile App Healthy market wholesaler.;2022-02-24;3000000;1;Seed;BR;Latin America;Bertha Capital
ElloX;Air Transportation Logistics Marine Transportation Shipping Broker Supply Chain Management Transportation;São Paulo Sao Paulo Brazil;ElloX is a digital freight forwarder digital that aims to create the best digital experience of international cargo logistics.;2022-02-08;3000000;2;Seed;BR;Latin America;KPTL
Oya.Care;Health Care;São Paulo Sao Paulo Brazil;Oya Care is a disruptive virtual health clinic for women in Brazil.;2022-02-23;3000000;2;Seed;BR;Latin America;Susa Ventures Canary Positive Ventures 1616 Ventures IKJ Capital
Partyou;Finance Financial Services Payments;São Paulo Sao Paulo Brazil;Partyou makes group payments easy and offers pooling money and fundraising to users from friends family and colleagues online.;2022-01-19;3000000;3;Seed;BR;Latin America;Banco Bradesco Asterisk Ventures
Cumbuca;Financial Services FinTech Software;São Paulo Sao Paulo Brazil;Multiplayer banking with bill splitting for Brazilian families.;2023-08-24;3000000;3;Seed;BR;Latin America;Y Combinator Lightspeed Venture Partners VERVE CAPITAL
Grupo Central;Delivery Information Services Information Technology;Santiago Region Metropolitana Chile;Grupo Central is a pioneers in Chile in the development of the Dark Kitchens and Dark Stores model.;2022-04-07;3000000;1;Seed;CL;Latin America;Global Founders Capital Opera Ventures Sebastian Ruales Moonvalley Capital
Checkeados.cl;Automotive E-Commerce E-Commerce Platforms;Santiago Region Metropolitana Chile;Checkeados.cl is an online platform that offers insight into buying and selling used cars.;2023-03-01;3000000;2;Seed;CL;Latin America;
El Dorado;Bitcoin Cryptocurrency Financial Exchanges Financial Services FinTech Mobile Payments Payments;Bogotá Distrito Especial Colombia;Stablecoin-powered payments SuperApp for Latin America.;2024-05-28;3000000;4;Seed;CO;Latin America;Multicoin Capital Berkeley SkyDeck Fund Coinbase Ventures Seedstars Awesome People Ventures
Celes;Machine Learning Retail Technology Small and Medium Businesses;Barranquilla Atlantico Colombia;Celes helps medium size retailers prevent stockouts retain customers and optimize pricing using pre-trained AI and analytics.;2024-05-14;3000000;3;Seed;CO;Latin America;Wayra Rockstart AngelHub VC MatterScale Ventures FEMSA Ventures
PLATAFORM;FinTech;Bogotá Distrito Especial Colombia;Fintech líder que busca acelerar el acceso a financiamiento de la base empresarial ayudando al crecimiento y desarrollo de la economía;2023-10-31;3000000;1;Seed;CO;Latin America;Skandia Ventures Progresión
Trebol;B2B Financial Services FinTech;Bogotá Distrito Especial Colombia;Trebol is a software development firm that provides business on-boarding automation for banks lenders and insurers.;2023-05-24;3000000;2;Seed;CO;Latin America;Y Combinator Soma Capital Canaan Partners Better Tomorrow Ventures Unpopular Ventures
Cheaf Technologies;B2C Consumer E-Commerce Marketplace;Mexico City Distrito Federal Mexico;Cheaf is a mobile marketplace that connects food stores with surplus food with users willing to acquire it for a large discount.;2021-11-01;3000000;2;Seed;MX;Latin America;500 Global Global Founders Capital Darkmode Ventures French Partners
BUO;Skill Assessment Software;Mexico City Distrito Federal Mexico;Skill Validation Platform for the Future of Work;2024-06-14;3000000;1;Seed;MX;Latin America;DILA Capital Kuiper Daedalus Ventures Nido Ventures
BAoE;Blockchain;América Managua Nicaragua;BAoE is a P2E game platform focusing on the development of a BSC-based P2E game.;2022-01-26;3000000;1;Seed;NI;Latin America;DH Capital Moonchase Asset Management Meta Ultra Holdings D.Ragoon Grooo International
Turbodega;Information Technology Software Supply Chain Management;Lima Lima Peru;Turbodega provides a software management tool designed to digitize the supply chain of small grocery stores.;2021-11-11;3000000;5;Seed;PE;Latin America;Creative Destruction Lab (CDL) Plug and Play Harlem Capital Partners 2048 Ventures Kli Capital
Talently;Developer Platform EdTech Education Software Software Engineering Training;Lima Lima Peru;Talently offers an intensive program that helps software developers get a better job in the technology industry anywhere in the world.;2022-06-02;3000000;4;Seed;PE;Latin America;500 Global 500 Startups: Latam Alaya Capital Newtype Ventures Latin Leap
ECSA;Blockchain Cryptocurrency Payments Trading Platform;Blumenau Santa Catarina Brazil;ECSA provides a solution to convert reals to digital assets and perform carry trade operations on the blockchain.;2023-03-10;3000000;2;Pre-Seed;BR;Latin America;Y Combinator Arca DOMO.VC Artichoke Capital
Maya Health Alliance;Health Care Hospital Non Profit Primary and Urgent Care Training;Tecpan Guerrero Mexico;Maya Health Alliance is a nonprofit healthcare firm that offers primary care maternal and women's health and chronic disease programs.;2023-09-13;3000000;1;Grant;MX;Latin America;
UNI2 Microcrédito;Financial Services;Colômbia Sao Paulo Brazil;UNI2 Microcrédito witnessed the inequalities in the financial sector and recognised that a huge part of the population.;2022-05-11;3000000;1;Debt Financing;BR;Latin America;Agri-Business Capital Fund (ABC Fund)
GOPASS;Mobile Payments;Bogotá Distrito Especial Colombia;GOPASS is a payment system for contactless payments within a mobility ecosystem.;2024-10-15;3000000;3;Debt Financing;CO;Latin America;Kaszek
@yuhu.mx;FinTech;Monterrey Nuevo Leon Mexico;Yuhu provides financial benefits to employees that help improve financial well-being and happiness in the workplace.;2021-10-15;3000000;3;Debt Financing;MX;Latin America;
Prestanómico;Financial Services FinTech Information Technology;Benito Juarez Distrito Federal Mexico;Prestanómico is a Mexican company that seeks to give credit in a more economical and accessible way through technology.;2022-09-01;3000000;4;Debt Financing;MX;Latin America;Finnovista Addem Capital LATINIA
Bien para Bien;Financial Services;Roma Veracruz-Llave Mexico;Bien para Bien is a Mexican Financial Institution that supports SMEs and entrepreneurs through a credit with fiduciary guarantee.;2022-08-19;3000000;1;Debt Financing;MX;Latin America;Addem Capital
Settle Network;Financial Services Payments;Buenos Aires Distrito Federal Argentina;Settle Network is the largest digital assets settlement network across LATAM for exchange and cross-border payments.;2020-12-17;3000000;1;Corporate Round;AR;Latin America;UpHonest Capital Stellar Development Foundation
Mi Aguila;E-Commerce Logistics Software;Bogotá Distrito Especial Colombia;Mi Aguila is a technology company focused on empowering traditional businesses in Latin America through logistics and e-commerce software.;2020-10-01;3000000;4;Convertible Note;CO;Latin America;Angel Ventures K50 Ventures Alpha4 Ventures Charles Meyer
